ï»¿Title,Copyright Year,Contributors,Publisher,Description,License,ISBN13
æœºå™¨å­¦ä¹ ,2016,å‘¨å¿—å�Ž,æ¸…å�Žå¤§å­¦å‡ºç‰ˆç¤¾,,,9781946135100
ç»Ÿè®¡å­¦ä¹ æ–¹æ³•,2012,æ�Žèˆª,æ¸…å�Žå¤§å­¦å‡ºç‰ˆç¤¾,,,9780984417551
Financial Accounting,2016,,University of Minnesota Libraries Publishing,"This book is intended for an undergraduate or MBA level Financial Accounting course. It covers the standard topics in a standard sequence, utilizing the Socratic method of asking and answering questions.",Attribution-NonCommercial-ShareAlike,9780989472104
A First Course in Linear Algebra,2015,"Robert A. Beezer, University of Puget Sound - Author",Independent,"A First Course in Linear Algebra is an introductory textbook aimed at college-level sophomores and juniors. Typically students will have taken calculus, but it is not a prerequisite. The book begins with systems of linear equations, then covers matrix algebra, before taking up finite-dimensional vector spaces in full generality. The final chapter covers matrix representations of linear transformations, through diagonalization, change of basis and Jordan canonical form. Determinants and eigenvalues are covered along the way. A unique feature of this book is that chapters, sections and theorems are labeled rather than numbered. For example, the chapter on vectors is labeled ""Chapter V"" and the theorem that elementary matrices are nonsingular is labeled ""Theorem EMN."" Another feature of this book is that it is designed to integrateSAGE, an open source alternative to mathematics software such as Matlab and Maple. The author includes a 45-minutevideo tutorialon SAGE and teaching linear algebra. For students:The book comes with supplemental archetypesand printable flashcards. This textbook has been used in classes at:Centre for Excellence in Basic Sciences, Westmont College, University of Ottawa, Plymouth State University, University of Puget Sound, University of Notre Dame, Carleton University, Amherst College, Felician College, Southern Connecticut State University, Michigan Technological University, Mount Saint Mary College, University of Western Australia, Moorpark College, Pacific University, Colorado State University, Smith College, Wilbur Wright College, Central Washington U (Lynwood Center), St. Cloud State University, Miramar College, Loyola Marymount University.",Free Documentation License (GNU),9781946135056
Book of Proof - Third Edition,2013,"Richard Hammack, Virginia Commonwealth University - Author",Richard Hammack,"This is a book about how to prove theorems. Until this point in your education, you may have regarded mathematics primarily as a computational discipline. You have learned to solveequations, compute derivatives and integrals, multiply matrices and finddeterminants; and you have seen how these things can answer practicalquestions about the real world. In this setting, your primary goal in usingmathematics has been to compute answers. But there is another approach to mathematics that is more theoreticalthan computational. In this approach, the primary goal is to understandmathematical structures, to prove mathematical statements, and evento invent or discover new mathematical theorems and theories. Themathematical techniques and procedures that you have learned and usedup until now have their origins in this theoretical side of mathematics. Forexample, in computing the area under a curve, you use the fundamentaltheorem of calculus. It is because this theorem is true that your answeris correct. However, in your calculus class you were probably far moreconcerned with how that theorem could be applied than in understandingwhy it is true. But how do we know it is true? How can we convinceourselves or others of its validity? Questions of this nature belong to thetheoretical realm of mathematics. This book is an introduction to that realm. This book will initiate you into an esoteric world. You will learn andapply the methods of thought that mathematicians use to verify theorems,explore mathematical truth and create new mathematical theories. Thiswill prepare you for advanced mathematics courses, for you will be betterable to understand proofs, write your own proofs and think critically andinquisitively about mathematics. Ancillary materials are available. This text has been used in classes at:Virginia Commonwealth University, Lebanon Valley College, University of California - San Diego, Colorado State University, Westminster College, South Dakota State University, PTEK College - Brunei, Christian Brothers High School, University of Texas Pan American, Schola Europaea, James Madison University, Heriot-Watt University, Prince of Songkla University, Queen Mary University of London, University of Nevada - Reno, University of Georgia - Athens, Saint Peter's University, California State University,BogaziÃ§i University, Pennsylvania State University, University of Notre Dame",Attribution-NoDerivs,9781946135063
Business Communication for Success,2015,,University of Minnesota Libraries Publishing,"Business Communication for Success (BCS) provides a comprehensive, integrated approach to the study and application of written and oral business communication to serve both student and professor. This series features chapters with the following elements: Learning Objectives Introductory Exercises Clear expectations, relevant background, and important theories Practical, real-world examples Key Takeaways or quick internal summaries Key terms that are easily identified In-chapter assignments Postchapter assessments linked to objectives and skills acquisition Each chapter is self-contained, allowing for mix-and-match flexibility and custom or course-specific design. Each chapter focuses on clear objectives and skill demonstrations that can be easily linked to your syllabus and state or federal requirements. Supported by internal and external assessments, each chapter features time-saving and learning-enhancement support for instructors and students. BCS is designed to help students identify important information, reinforce for retention, and demonstrate mastery with a clear outcome product. The text has three content categories: Foundations Process and products Contexts The first three chapters form the core foundation for the study of oral and written business communication. The next sequence of chapters focus on the process of writing, then oral performance with an emphasis on results. The final sequence focuses on contexts where business communication occurs, from interpersonal to intercultural, from groups to leadership. In each of the process and product chapter sequences, the chapters follow a natural flow, from prewriting to revision, from preparation for a presentation to performance. Each sequence comes together in a concluding chapter that focuses on actionâ€”where we apply the skills and techniques of written or oral communication in business, from writing a letter to presenting a sales speech. These performances not only serve to reinforce real-world applications but also may serve as course assessments. This text has been used in classes at: Ohio University, Miami University â€“ Oxford, Kent State University â€“ Salem Campus, Cuyahoga Community College â€“ West, University of Toledo, Cuyahoga Community College â€“ District, Northern Arizona University, Gateway Community College, University of Arizona, Arizona Western College, Boise State University,Western Governors University, Doane College, Mcpherson College, University of Nebraska Med Center, Suny Fredonia, State University of New York Institute of Technology at Utica/Rome, Trinidad State Junior College, University of Delaware, Brenau University, Brewton-Parker College, Loras College, Kapiolani Community College, Muscatine Community College, Greenville College, University of Illinois â€“ Chicago, Millikin University, Rockland Community College, Cornell University, National-Louis University â€“ Lisle, St. Gregory's University, University of Southern Indiana, Missouri State University â€“ W Plains, Bucks County Community College â€“ Newton, Clarion University of Pennsylvania, Pulaski Technical College, Temple University, Dixie State College of Utah, Averett University, Virginia Polytech Institute, Fond Du Lac Tribal Community College, Lipscomb University, Edgewood College, University of Wisconsin â€“ Stout, Wisconsin Lutheran College, Virginia State University, North Georgia Technical College â€“ Blairsville, Paradise Valley Community College, Fordham University â€“ Lincoln Center, New England College of Business/Finance, Eastern New Mexico University, University of Alabama, Albertus Magnus College, Pepperdine University, Fullerton College, Santa Ana College, Miracosta College â€“ Oceanside, San Jose State University, De Anza College, University of The Southwest, Florida Institute of Technology, Forida State University, Dean College, California State University, University of Massachusetts, Suffolk University, Stevenson University, Worcester State College, University of Maryland, Clover Park Technical College, Minnesota State University â€“ Moorhead, College of St. Scholastica, Ferris State University, Concordia University, Southern New Hampshire University, Lower Columbia College, University of North Carolina â€“ Greensboro, Rockingham Community College, Stanly Community College, Wayland Baptist University, Bunker Hill Community College, Salve Regina University, University of The Incarnate Word, St. Mary's University, University of Rhode Island, Texarkana College, Renton Technical College, Tarleton State University, Wayland Baptist University â€“ Plainview, University of Houston, Stephen F. Austin State University, Bates Technical College, Chabot College, Bakersfield College, Azusa Pacific University, University of Houston â€“ Downtown, California Southern University, Miracosta College, American Public University, American Public University System, Huntington Junior College, Flat World Knowledge University, Jackson Senior High School, Holmes High School, Dlielc, Clintondale High School, American University in Kosovo in Conjunction with Rochester Institute of Technology, Southeast Lauderdale High School, Benedict Business Hotel Management School, University of the People, Kwame Nkrumah University of Science and Technology, New Brunswick College of Craft and Design, New England School of English, Comsats Institute of Information Technology, Wayland Baptist University â€“ Anchorage, Volcano Vista High School, Wayland Baptist University â€“ San Antonio, Morrill High School, North Island College â€“ B Campus, Seneca College, APOU, University of North Carolina â€“ Greensboro, Southern New Hampshire University, University of Maryland University College, Harrisburg High School",Attribution-NonCommercial-ShareAlike,9780961408824
College Success,2015,,University of Minnesota Libraries Publishing,"Our primary goal in writing College Success is to help you succeed in college. According to Department of Education data, 30 percent of college freshmen leave school in their first year and as many as 50 percent never graduate. College Success is designed to help change that. College Success has a student-friendly format arranged to help you develop the essential skills and provide the information you need to succeed in college. This is not a textbook full of theory and extensive detail that merely discusses student success; rather, this is a how-to manual for succeeding in college. The book provides realistic, practical guidance ranging from study skills to personal health, from test taking to managing time and money. Furthermore, College Success is accessibleâ€”information is presented concisely and as simply as possible. College Success has the following features to help you achieve your goals: Each chapter asks you to evaluate yourself because success starts with recognizing your strengths and weaknesses, your hopes and desires, and your own personal, individual realities. You'll develop your own goals based on these self-assessments, determining what success in college really means for you as an individual. Throughout the book, you will find numerous interactive activities created to help you improve your skills. To assist you with this, the material is presented in easily digestible â€œchunksâ€� of information so you can begin applying it immediately in your own lifeâ€”and get the most out of your college education.",Attribution-NonCommercial-ShareAlike,9780978745073
Calculus,1991,"Gilbert Strang, MIT - Author",Wellesley-Cambridge Press,"Published in 1991 by Wellesley-Cambridge Press, the book is a useful resource for educators and self-learners alike. It is well organized, covers single variable and multivariable calculus in depth, and is rich with applications. In addition to the textbook, there is also an online Instructor's Manual and a student Study Guide. Prof. Strang has also developed a related series of videos, Highlights of Calculus, on the basic ideas of calculus.",Attribution-NonCommercial-ShareAlike,
Collaborative Statistics,2012,"Barbara Illowsky, De Anza College - Author
Susan Dean, De Anza College - Author",OpenStax CNX,"Collaborative Statistics was written by Barbara Illowsky and Susan Dean, faculty members at De Anza Collegein Cupertino, California. The textbook was developed over several years and has been used in regularand honors-level classroom settings and in distance learning classes. Courses using this textbook have beenarticulated by the University of California for transfer of credit. The textbook contains full materials forcourse offerings, including expository text, examples, labs, homework, and projects. A Teacher's Guide iscurrently available in print form and on the Connexions site at and supplemental course materials including additional problem sets and video lectures are available. The on-line text for each of these collections collections willmeet the Section 508 standards for accessibility. An on-line course based on the textbook was also developed by Illowsky and Dean. It has won an awardas the best on-line California community college course. The on-line course will be available at a later dateas a collection in Connexions, and each lesson in the on-line course will be linked to the on-line textbookchapter. The on-line course will include, in addition to expository text and examples, videos of courselectures in captioned and non-captioned format. The original preface to the book as written by professors Illowsky and Dean, now follows: This book is intended for introductory statistics courses being taken by students at twoâ€“ and fourâ€“yearcolleges who are majoring in fields other than math or engineering. Intermediate algebra is the only prerequisite.The book focuses on applications of statistical knowledge rather than the theory behind it. Thetext is named Collaborative Statistics because students learn best by doing. In fact, they learn best byworking in small groups. The old saying â€œtwo heads are better than oneâ€� truly applies here. Our emphasis in this text is on four main concepts: thinking statistically incorporating technology working collaboratively writing thoughtfully These concepts are integral to our course. Students learn the best by actively participating, not by justwatching and listening. Teaching should be highly interactive. Students need to be thoroughly engagedin the learning process in order to make sense of statistical concepts. Collaborative Statistics providestechniques for students to write across the curriculum, to collaborate with their peers, to think statistically,and to incorporate technology. This book takes students step by step. The text is interactive. Therefore, students can immediately applywhat they read. Once students have completed the process of problem solving, they can tackle interestingand challenging problems relevant to today's world. The problems require the students to apply theirnewly found skills. In addition, technology (TI-83 graphing calculators are highlighted) is incorporatedthroughout the text and the problems, as well as in the special group activities and projects. The book alsocontains labs that use real data and practices that lead students step by step through the problem solvingprocess. At De Anza, along with hundreds of other colleges across the country, the college audience involves alarge number of ESL students as well as students from many disciplines. The ESL students, as well asthe non-ESL students, have been especially appreciative of this text. They find it extremely readable andunderstandable. Collaborative Statistics has been used in classes that range from 20 to 120 students, and inregular, honor, and distance learning classes.",Attribution,9781453300923
College Algebra,2013,"Carl Stitz, Lakeland Community College - Author
Jeff Zeager, Lorain County Community College - Author",Stitz Zeager Open Source Mathematics,"College Algebra is an introductory text for a college algebra survey course. The material is presented at a level intended to prepare students for Calculus while also giving them relevant mathematical skills that can be used in other classes. The authors describe their approach as ""Functions First,"" believing introducing functions first will help students understand new concepts more completely. Each section includes homework exercises, and the answers to most computational questions are included in the text (discussion questions are open-ended). Graphing calculators are used sparingly and only as a tool to enhance the Mathematics, not to replace it. The authors also offer a Precalculus version of this text, which has two extra chapters covering Trigonometry.",Attribution-NonCommercial-ShareAlike,9780620565158
